EmployeeNumber,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,AttritionFlag,TenureBand,IncomeBand,JobSatisfactionLabel,WorkLifeBalanceLabel
378,19,No,Travel_Rarely,594,Human Resources,1,3,Medical,3,Male,47,4,4,Manager,3.0,Single,11925.0,17771,2,No,20,3,1,0,0,3,3,0.0,0,0,0,0,0-1 yrs,10K-15K,High,Better
379,38,No,Travel_Frequently,1441,Sales,1,3,Medical,3,Female,65,3,1,Sales Representative,2.0,Married,3921.0,3962,1,No,12,3,2,1,16,3,3,6.0,6,1,6,0,4-6 yrs,3K-6K,Medium,Better
380,33,No,Travel_Rarely,1091,Research & Development,25,4,Life Sciences,3,Female,44,2,3,Laboratory Technician,1.0,Married,8048.0,5535,0,Yes,19,3,3,1,12,2,2,6.0,6,3,6,0,4-6 yrs,6K-10K,Low,Good
381,37,Yes,Travel_Rarely,1229,Sales,3,2,Life Sciences,1,Female,60,2,3,Sales Representative,4.0,Married,11518.0,8402,1,No,11,3,4,0,16,3,2,6.0,4,1,1,1,4-6 yrs,10K-15K,Very High,Good
382,35,No,Travel_Rarely,768,Research & Development,11,3,Marketing,4,Male,61,3,3,Research Director,4.0,Single,6206.0,20214,6,Yes,12,3,1,0,12,3,4,6.0,6,1,3,0,4-6 yrs,6K-10K,Very High,Best
383,18,No,Travel_Rarely,1051,Research & Development,14,2,Life Sciences,4,Male,74,4,3,Research Director,3.0,Married,11910.0,22289,2,Yes,13,4,2,1,0,1,2,0.0,0,0,0,0,0-1 yrs,10K-15K,High,Good
384,29,No,Travel_Rarely,1424,Sales,21,3,Other,1,Male,67,2,4,Sales Representative,3.0,Married,12171.0,7441,4,Yes,11,3,4,1,9,4,3,5.0,5,1,5,0,4-6 yrs,10K-15K,High,Better
385,41,No,Travel_Rarely,689,Sales,9,1,Other,3,Female,48,3,3,Sales Representative,4.0,Divorced,9632.0,14390,1,No,15,3,1,0,17,0,3,9.0,9,3,4,0,7-10 yrs,6K-10K,Very High,Better
386,37,No,Travel_Frequently,1004,Research & Development,14,3,Marketing,3,Female,37,3,1,Healthcare Representative,1.0,Married,8668.5,19516,3,No,11,3,2,0,17,1,1,8.0,4,3,3,0,7-10 yrs,6K-10K,Low,Bad
387,42,Yes,Travel_Frequently,424,Sales,3,3,Marketing,4,Female,48,3,3,Manager,3.0,Single,6429.0,18287,3,Yes,11,3,4,0,18,2,3,4.0,4,2,4,1,4-6 yrs,6K-10K,High,Better
388,30,Yes,Travel_Rarely,1480,Research & Development,1,3,Medical,4,Male,64,4,1,Manufacturing Director,3.0,Married,2660.0,15778,0,No,11,3,1,0,10,2,3,9.0,3,1,3,1,7-10 yrs,Below 3K,High,Better
389,36,Yes,Travel_Frequently,867,Research & Development,18,1,Life Sciences,2,Female,79,3,4,Research Scientist,2.0,Married,12886.0,6138,4,No,11,3,3,0,13,2,3,6.0,1,0,5,1,4-6 yrs,10K-15K,Medium,Better
390,31,Yes,Travel_Rarely,1478,Research & Development,7,4,Technical Degree,2,Male,60,3,2,Healthcare Representative,4.0,Married,6030.0,5158,4,Yes,13,3,2,1,8,3,2,8.0,1,0,3,1,7-10 yrs,6K-10K,Very High,Good
391,31,No,Travel_Rarely,551,Research & Development,4,3,Other,3,Female,54,2,4,Laboratory Technician,2.0,Married,8432.0,3587,5,No,15,3,2,0,11,4,3,9.0,1,3,2,0,7-10 yrs,6K-10K,Medium,Better
392,29,Yes,Travel_Rarely,1009,Research & Development,14,1,Life Sciences,2,Male,89,2,4,Manager,1.0,Married,10969.0,11770,2,Yes,18,3,3,3,9,0,2,3.0,2,1,3,1,2-3 yrs,10K-15K,Low,Good
393,47,Yes,Travel_Rarely,606,Sales,3,3,Medical,4,Male,46,4,3,Sales Representative,1.0,Single,8052.0,18396,3,Yes,11,3,2,1,25,3,3,8.0,3,1,1,1,7-10 yrs,6K-10K,Low,Better
394,37,No,Travel_Rarely,545,Research & Development,6,4,Other,4,Male,76,2,3,Manufacturing Director,4.0,Married,10663.0,4541,0,No,12,3,2,1,17,5,3,7.0,7,3,3,0,7-10 yrs,10K-15K,Very High,Better
395,41,No,Travel_Rarely,856,Research & Development,7,1,Marketing,2,Male,83,1,2,Research Scientist,3.0,Married,5503.0,25434,1,No,13,3,2,0,19,3,3,5.0,3,1,2,0,4-6 yrs,3K-6K,High,Better
396,25,Yes,Travel_Rarely,843,Sales,3,4,Other,1,Male,61,3,2,Sales Executive,1.0,Married,7305.0,4429,1,No,13,3,4,2,4,6,3,4.0,1,0,4,1,4-6 yrs,6K-10K,Low,Better
397,32,No,Travel_Rarely,916,Research & Development,1,2,Life Sciences,3,Female,94,3,1,Manager,4.0,Married,1699.0,18303,3,No,21,3,2,0,9,1,3,4.0,4,2,4,0,4-6 yrs,Below 3K,Very High,Better
398,46,No,Travel_Rarely,940,Sales,2,4,Life Sciences,3,Female,78,3,2,Sales Executive,1.0,Single,6861.0,7632,4,Yes,22,3,4,1,24,2,3,11.0,4,1,7,0,10+ yrs,6K-10K,Low,Better
399,43,No,Travel_Frequently,242,Research & Development,9,3,Marketing,3,Male,97,3,5,Healthcare Representative,1.0,Married,12670.0,17145,3,No,13,3,2,0,19,3,2,11.0,2,1,3,0,10+ yrs,10K-15K,Low,Good
400,21,Yes,Travel_Rarely,632,Research & Development,3,4,Other,4,Female,79,3,1,Manager,2.0,Single,7732.0,14318,1,No,22,3,2,0,0,3,1,0.0,0,0,0,1,0-1 yrs,6K-10K,Medium,Bad
401,47,Yes,Travel_Rarely,222,Research & Development,26,2,Life Sciences,3,Female,30,3,3,Research Director,1.0,Married,7369.0,4470,5,No,17,3,1,0,26,1,3,3.0,3,0,3,1,2-3 yrs,6K-10K,Low,Better
402,52,No,Travel_Rarely,805,Research & Development,7,5,Life Sciences,1,Male,64,3,4,Healthcare Representative,3.0,Divorced,12119.0,10739,0,Yes,17,3,2,1,30,5,3,8.0,1,2,7,0,7-10 yrs,10K-15K,High,Better
403,27,Yes,Travel_Frequently,688,Sales,1,4,Human Resources,4,Male,86,3,3,Manager,3.0,Married,8666.0,10333,4,No,16,3,4,0,3,4,3,3.0,3,1,3,1,2-3 yrs,6K-10K,High,Better
404,35,Yes,Travel_Rarely,1343,Research & Development,19,3,Human Resources,1,Female,79,3,4,Manufacturing Director,4.0,Single,8168.0,13342,4,Yes,14,3,1,3,12,3,2,7.0,6,2,2,1,7-10 yrs,6K-10K,Very High,Good
405,42,Yes,Travel_Rarely,666,Research & Development,4,2,Life Sciences,1,Male,82,2,1,Laboratory Technician,2.0,Married,5263.0,7228,3,No,12,3,1,0,22,2,4,1.0,1,0,1,1,0-1 yrs,3K-6K,Medium,Best
406,39,No,Travel_Rarely,1169,Sales,14,3,Medical,4,Female,67,3,1,Sales Executive,3.0,Single,4623.0,7648,2,No,16,3,4,1,15,1,3,9.0,4,2,6,0,7-10 yrs,3K-6K,High,Better
407,34,Yes,Non-Travel,1070,Research & Development,1,2,Life Sciences,4,Female,53,2,3,Healthcare Representative,4.0,Married,11263.0,2419,1,Yes,16,3,3,3,13,3,2,7.0,6,2,5,1,7-10 yrs,10K-15K,Very High,Good
408,43,No,Travel_Rarely,1362,Research & Development,3,5,Technical Degree,2,Female,48,3,3,Laboratory Technician,3.0,Divorced,8736.0,6007,0,No,12,4,1,0,21,3,3,12.0,1,2,6,0,10+ yrs,6K-10K,High,Better
409,30,No,Travel_Frequently,496,Research & Development,13,3,Life Sciences,4,Female,73,3,2,Laboratory Technician,3.0,Single,9336.0,24219,0,No,18,3,1,0,8,2,3,8.0,4,3,6,0,7-10 yrs,6K-10K,High,Better
410,35,Yes,Travel_Rarely,698,Research & Development,6,4,Life Sciences,4,Female,97,4,2,Laboratory Technician,3.0,Divorced,7023.0,19617,0,Yes,12,3,4,0,15,0,3,9.0,4,3,7,1,7-10 yrs,6K-10K,High,Better
411,22,Yes,Travel_Frequently,995,Sales,3,2,Medical,4,Female,75,1,4,Sales Representative,2.0,Divorced,12262.0,6902,3,Yes,15,3,3,1,0,1,3,0.0,0,0,0,1,0-1 yrs,10K-15K,Medium,Better
412,30,Yes,Travel_Rarely,270,Research & Development,1,3,Technical Degree,3,Female,49,2,3,Laboratory Technician,2.0,Single,11772.0,13776,2,Yes,15,3,2,0,9,2,2,9.0,4,4,3,1,7-10 yrs,10K-15K,Medium,Good
413,20,Yes,Travel_Rarely,894,Sales,13,4,Marketing,2,Female,70,2,2,Manager,3.0,Divorced,5822.0,6425,4,No,11,3,1,1,0,0,4,0.0,0,0,0,1,0-1 yrs,3K-6K,High,Best
414,35,No,Travel_Rarely,184,Research & Development,8,4,Other,3,Female,84,2,4,Research Scientist,4.0,Single,11972.0,23025,1,No,15,3,4,0,12,3,3,6.0,6,0,3,0,4-6 yrs,10K-15K,Very High,Better
415,44,No,Travel_Frequently,631,Research & Development,1,3,Technical Degree,1,Female,44,2,5,Manager,3.0,Single,12149.0,6762,2,No,17,3,2,0,24,4,3,7.0,4,2,5,0,7-10 yrs,10K-15K,High,Better
416,39,No,Travel_Rarely,108,Sales,6,1,Life Sciences,4,Male,48,3,5,Sales Representative,4.0,Married,11791.0,7757,4,Yes,19,3,4,0,17,2,2,8.0,3,2,5,0,7-10 yrs,10K-15K,Very High,Good
417,48,Yes,Travel_Rarely,715,Research & Development,4,3,Marketing,4,Female,54,3,1,Laboratory Technician,2.0,Married,3795.0,24832,3,No,17,3,3,1,25,3,2,7.0,4,2,5,1,7-10 yrs,3K-6K,Medium,Good
418,42,No,Travel_Rarely,922,Research & Development,23,3,Medical,3,Female,81,2,3,Research Scientist,3.0,Married,9631.0,16653,2,Yes,12,3,1,0,19,3,4,9.0,1,4,6,0,7-10 yrs,6K-10K,High,Best
419,37,No,Travel_Rarely,867,Research & Development,16,3,Life Sciences,3,Female,72,4,2,Laboratory Technician,2.0,Married,5231.0,16779,4,No,16,3,3,0,16,4,2,5.0,4,2,5,0,4-6 yrs,3K-6K,Medium,Good
420,41,No,Travel_Frequently,293,Sales,1,2,Technical Degree,4,Male,48,4,2,Sales Executive,3.0,Married,5347.0,14832,4,No,16,3,3,3,17,2,2,4.0,4,2,2,0,4-6 yrs,3K-6K,High,Good
421,29,No,Travel_Rarely,453,Sales,7,2,Life Sciences,4,Male,80,3,2,Sales Representative,3.0,Married,5575.0,10763,4,Yes,11,3,3,1,7,2,3,7.0,1,0,4,0,7-10 yrs,3K-6K,High,Better
422,58,No,Travel_Rarely,571,Research & Development,2,3,Marketing,3,Female,39,3,5,Research Director,2.0,Divorced,11377.0,6623,2,No,16,3,3,1,36,6,3,10.0,5,3,3,0,7-10 yrs,10K-15K,Medium,Better
423,35,No,Travel_Rarely,683,Sales,6,4,Other,2,Female,50,3,2,Sales Representative,3.0,Married,8550.0,23004,3,Yes,13,3,1,2,14,1,1,9.0,4,3,4,0,7-10 yrs,6K-10K,High,Bad
424,34,No,Travel_Rarely,575,Research & Development,3,3,Medical,1,Female,91,3,3,Healthcare Representative,1.0,Single,10123.0,24332,4,No,13,3,4,1,11,2,4,3.0,3,2,3,0,2-3 yrs,10K-15K,Low,Best
425,37,No,Travel_Rarely,828,Research & Development,5,3,Life Sciences,1,Male,98,3,3,Manager,3.0,Single,7914.0,25331,2,No,15,4,4,1,13,3,3,7.0,4,6,4,0,7-10 yrs,6K-10K,High,Better
426,48,Yes,Travel_Rarely,1130,Sales,1,3,Technical Degree,2,Female,89,3,1,Sales Executive,4.0,Married,5578.0,11174,4,No,11,3,4,2,26,2,3,7.0,5,2,5,1,7-10 yrs,3K-6K,Very High,Better
427,56,No,Travel_Frequently,186,Research & Development,1,5,Life Sciences,4,Male,76,2,3,Manufacturing Director,4.0,Married,9455.0,15294,3,No,11,3,3,1,32,4,3,6.0,2,3,3,0,4-6 yrs,6K-10K,Very High,Better
428,44,No,Non-Travel,952,Sales,4,5,Life Sciences,4,Male,72,4,2,Sales Executive,1.0,Married,8668.5,2833,4,No,16,3,2,0,21,5,3,7.0,5,3,0,0,7-10 yrs,6K-10K,Low,Better
429,43,No,Travel_Rarely,1440,Research & Development,12,3,Medical,3,Male,72,3,1,Laboratory Technician,4.0,Married,6183.0,10527,2,No,12,4,2,0,20,4,3,9.0,3,2,1,0,7-10 yrs,6K-10K,Very High,Better
430,31,Yes,Travel_Rarely,1254,Research & Development,1,5,Marketing,2,Male,95,3,5,Manufacturing Director,2.0,Married,15077.0,26063,4,No,21,3,3,1,10,2,3,6.0,3,1,3,1,4-6 yrs,15K+,Medium,Better
431,48,No,Travel_Frequently,950,Sales,3,3,Marketing,2,Female,97,2,5,Sales Executive,3.0,Married,11168.0,7029,3,No,17,3,2,1,24,1,4,8.0,4,2,4,0,7-10 yrs,10K-15K,High,Best
432,40,Yes,Travel_Frequently,370,Research & Development,2,1,Marketing,1,Male,74,3,1,Healthcare Representative,4.0,Married,2852.0,4440,2,No,17,3,3,0,18,2,2,7.0,2,3,4,1,7-10 yrs,Below 3K,Very High,Good
433,25,No,Travel_Frequently,1118,Sales,9,4,Life Sciences,3,Female,49,2,5,Manager,2.0,Married,11389.0,15237,5,No,16,3,2,0,2,2,3,2.0,2,0,2,0,2-3 yrs,10K-15K,Medium,Better
434,37,No,Travel_Rarely,710,Research & Development,7,3,Life Sciences,2,Male,34,3,4,Research Director,3.0,Divorced,13819.0,24541,3,Yes,11,3,4,0,17,4,3,6.0,4,1,0,0,4-6 yrs,10K-15K,High,Better
435,39,Yes,Travel_Frequently,1024,Research & Development,1,4,Human Resources,1,Female,66,3,3,Healthcare Representative,2.0,Divorced,10821.0,8930,2,Yes,15,3,2,0,19,5,2,7.0,4,2,3,1,7-10 yrs,10K-15K,Medium,Good
436,41,No,Travel_Rarely,113,Research & Development,29,4,Life Sciences,4,Male,32,3,3,Manufacturing Director,2.0,Divorced,7677.0,13882,7,No,12,3,2,0,17,2,4,3.0,1,2,3,0,2-3 yrs,6K-10K,Medium,Best
437,19,No,Travel_Rarely,1263,Human Resources,7,1,Life Sciences,2,Male,49,4,5,Manager,4.0,Married,16488.0,21498,2,Yes,14,3,4,0,0,2,4,0.0,0,0,0,0,0-1 yrs,15K+,Very High,Best
438,20,No,Travel_Frequently,816,Research & Development,2,3,Life Sciences,2,Male,66,3,1,Research Director,2.0,Married,4203.0,25667,1,No,19,3,3,2,0,2,3,0.0,0,0,0,0,0-1 yrs,3K-6K,Medium,Better
439,41,No,Travel_Rarely,681,Research & Development,15,3,Life Sciences,3,Male,85,3,5,Manufacturing Director,4.0,Married,15891.0,12229,3,Yes,14,3,3,0,21,1,3,8.0,2,0,2,0,7-10 yrs,15K+,Very High,Better
440,40,Yes,Travel_Rarely,265,Sales,3,4,Medical,3,Male,42,3,2,Sales Executive,1.0,Married,6123.0,21660,5,Yes,16,3,4,0,20,1,3,2.0,2,1,2,1,2-3 yrs,6K-10K,Low,Better
441,38,No,Non-Travel,294,Research & Development,8,1,Technical Degree,4,Female,43,2,1,Research Director,3.0,Married,2777.0,17348,2,Yes,17,3,4,0,18,1,3,3.0,3,0,3,0,2-3 yrs,Below 3K,High,Better
442,44,No,Travel_Rarely,1080,Research & Development,23,1,Marketing,1,Male,32,3,4,Healthcare Representative,2.0,Married,9451.0,19904,3,No,22,4,4,1,21,3,2,6.0,4,2,2,0,4-6 yrs,6K-10K,Medium,Good
443,32,Yes,Travel_Rarely,1479,Research & Development,3,4,Medical,2,Male,46,1,4,Healthcare Representative,3.0,Single,12208.0,26140,2,Yes,11,3,3,1,8,2,4,8.0,4,5,2,1,7-10 yrs,10K-15K,High,Best
444,37,Yes,Travel_Rarely,1410,Research & Development,16,2,Medical,2,Male,53,2,1,Healthcare Representative,1.0,Single,5517.0,15024,1,No,16,3,1,1,15,5,3,5.0,4,2,3,1,4-6 yrs,3K-6K,Low,Better
445,43,No,Travel_Frequently,134,Research & Development,11,2,Other,1,Female,47,3,4,Manager,3.0,Single,12378.0,20651,3,No,17,3,4,0,19,4,4,7.0,6,4,5,0,7-10 yrs,10K-15K,High,Best
446,21,No,Non-Travel,1480,Sales,4,2,Human Resources,2,Male,32,3,5,Manager,2.0,Divorced,13835.0,18572,4,No,12,3,2,1,0,3,3,0.0,0,0,0,0,0-1 yrs,10K-15K,Medium,Better
447,31,No,Travel_Rarely,1037,Sales,1,3,Human Resources,3,Female,93,2,2,Sales Representative,2.0,Divorced,4806.0,3540,1,Yes,15,3,3,0,8,2,3,5.0,3,0,1,0,4-6 yrs,3K-6K,Medium,Better
448,27,Yes,Non-Travel,359,Sales,21,4,Life Sciences,4,Female,80,2,5,Manager,1.0,Married,12484.0,2451,2,No,14,4,3,1,4,4,3,4.0,4,2,3,1,4-6 yrs,10K-15K,Low,Better
449,42,Yes,Travel_Rarely,1116,Sales,6,5,Life Sciences,3,Female,39,2,5,Manager,3.0,Single,15999.0,9147,6,Yes,15,3,3,2,22,4,3,7.0,3,1,7,1,7-10 yrs,15K+,High,Better
450,40,No,Travel_Rarely,656,Research & Development,2,4,Life Sciences,4,Male,93,2,5,Research Director,4.0,Married,13907.0,3060,3,No,15,3,1,0,17,1,1,9.0,5,3,3,0,7-10 yrs,10K-15K,Very High,Bad
451,43,No,Travel_Rarely,658,Sales,2,2,Life Sciences,4,Male,55,3,4,Sales Executive,4.0,Single,10717.0,19365,4,Yes,18,3,4,1,19,4,2,7.0,4,1,7,0,7-10 yrs,10K-15K,Very High,Good
452,35,No,Travel_Rarely,171,Research & Development,1,3,Medical,4,Female,59,2,4,Research Scientist,4.0,Married,9339.0,23121,2,No,13,3,3,1,15,4,3,4.0,1,2,1,0,4-6 yrs,6K-10K,Very High,Better
453,49,No,Travel_Rarely,135,Research & Development,2,3,Technical Degree,4,Female,88,4,5,Manufacturing Director,4.0,Married,13284.0,4119,6,No,15,3,4,0,27,2,2,11.0,6,5,3,0,10+ yrs,10K-15K,Very High,Good
454,20,No,Travel_Rarely,548,Sales,1,3,Life Sciences,4,Female,43,4,2,Sales Executive,2.0,Single,7846.0,26647,6,No,13,3,1,2,0,4,2,0.0,0,0,0,0,0-1 yrs,6K-10K,Medium,Good
455,41,Yes,Travel_Rarely,1418,Research & Development,1,2,Life Sciences,3,Female,75,3,1,Healthcare Representative,4.0,Married,4252.0,7477,5,No,15,3,2,2,19,3,2,9.0,2,3,1,1,7-10 yrs,3K-6K,Very High,Good
456,39,Yes,Travel_Rarely,1111,Research & Development,5,3,Life Sciences,3,Male,95,3,1,Laboratory Technician,3.0,Married,1952.0,15129,4,Yes,12,3,4,0,15,0,3,6.0,5,0,4,1,4-6 yrs,Below 3K,High,Better
457,26,No,Travel_Rarely,446,Research & Development,3,4,Life Sciences,4,Male,42,3,3,Manager,3.0,Single,7376.0,10229,4,No,11,4,3,1,2,2,3,2.0,2,1,2,0,2-3 yrs,6K-10K,High,Better
458,41,No,Travel_Rarely,159,Sales,3,2,Marketing,3,Male,68,2,3,Manager,4.0,Divorced,6808.0,14899,3,No,14,3,3,1,21,1,4,12.0,2,4,6,0,10+ yrs,6K-10K,Very High,Best
459,42,Yes,Travel_Rarely,620,Sales,1,3,Medical,2,Male,91,3,1,Sales Executive,3.0,Divorced,2281.0,5901,2,No,14,3,3,0,19,3,3,10.0,3,3,3,1,7-10 yrs,Below 3K,High,Better
460,40,No,Non-Travel,857,Research & Development,4,2,Human Resources,1,Female,32,3,3,Research Director,2.0,Married,5543.0,16964,5,No,11,3,3,0,18,3,3,4.0,3,3,4,0,4-6 yrs,3K-6K,Medium,Better
461,32,No,Travel_Rarely,559,Sales,1,2,Medical,2,Female,38,3,5,Manager,4.0,Married,13300.0,23746,4,No,14,3,1,0,11,6,2,9.0,1,2,4,0,7-10 yrs,10K-15K,Very High,Good
462,32,No,Travel_Rarely,221,Sales,8,3,Marketing,3,Female,47,1,5,Sales Executive,4.0,Single,12358.0,25357,5,No,15,3,4,1,12,1,3,3.0,3,3,2,0,2-3 yrs,10K-15K,Very High,Better
463,34,No,Travel_Rarely,1261,Research & Development,1,2,Technical Degree,2,Male,76,1,2,Healthcare Representative,4.0,Married,5217.0,17094,4,Yes,11,3,2,1,10,3,3,5.0,5,0,2,0,4-6 yrs,3K-6K,Very High,Better
464,38,Yes,Travel_Rarely,413,Research & Development,14,2,Life Sciences,1,Male,64,2,4,Manufacturing Director,3.0,Single,8060.0,15040,3,Yes,11,3,1,1,18,6,2,5.0,5,3,5,1,4-6 yrs,6K-10K,High,Good
465,48,No,Travel_Frequently,951,Research & Development,3,3,Technical Degree,1,Female,49,3,4,Manager,3.0,Divorced,10834.0,4706,1,No,11,3,4,0,24,3,4,8.0,1,1,5,0,7-10 yrs,10K-15K,High,Best
466,34,No,Travel_Rarely,245,Sales,1,3,Life Sciences,2,Male,44,3,4,Sales Representative,2.0,Single,10676.0,15734,1,No,18,3,1,1,11,4,4,6.0,4,2,4,0,4-6 yrs,10K-15K,Medium,Best
467,26,No,Travel_Rarely,288,Research & Development,1,4,Technical Degree,2,Male,69,2,2,Manager,2.0,Divorced,6108.0,23556,7,No,20,3,3,1,4,3,3,3.0,3,2,3,0,2-3 yrs,6K-10K,Medium,Better
468,47,No,Non-Travel,276,Research & Development,11,1,Marketing,2,Male,94,2,4,Research Scientist,4.0,Married,9289.0,23986,1,No,11,3,4,1,23,6,3,8.0,5,0,5,0,7-10 yrs,6K-10K,Very High,Better
469,21,No,Travel_Rarely,1444,Research & Development,1,2,Marketing,3,Female,52,3,1,Manufacturing Director,4.0,Married,6172.0,9216,2,No,12,4,2,0,0,3,3,0.0,0,0,0,0,0-1 yrs,6K-10K,Very High,Better
470,42,No,Travel_Rarely,840,Research & Development,4,3,Life Sciences,3,Male,99,3,1,Healthcare Representative,4.0,Married,6475.0,22532,4,Yes,15,3,3,1,20,3,2,6.0,6,4,6,0,4-6 yrs,6K-10K,Very High,Good
471,36,No,Travel_Rarely,674,Human Resources,9,2,Marketing,2,Female,57,3,5,Manager,4.0,Married,16070.0,12084,5,No,15,3,3,1,15,1,3,6.0,5,4,3,0,4-6 yrs,15K+,Very High,Better
472,41,Yes,Travel_Frequently,741,Sales,2,5,Marketing,2,Male,65,1,3,Sales Representative,3.0,Divorced,10710.0,13439,4,No,17,3,2,2,20,2,3,8.0,5,1,4,1,7-10 yrs,10K-15K,High,Better
473,42,No,Travel_Frequently,1320,Sales,16,4,Marketing,3,Male,96,2,2,Manager,4.0,Married,5636.0,3729,1,No,16,3,2,0,20,2,2,4.0,2,3,2,0,4-6 yrs,3K-6K,Very High,Good
474,25,No,Travel_Rarely,1252,Research & Development,1,3,Life Sciences,4,Male,38,4,5,Healthcare Representative,2.0,Single,13733.0,12914,7,Yes,13,3,1,0,2,4,3,2.0,2,2,2,0,2-3 yrs,10K-15K,Medium,Better
475,27,No,Travel_Rarely,1257,Sales,1,3,Technical Degree,1,Female,35,3,3,Sales Representative,4.0,Married,10164.0,12068,2,No,13,4,4,0,3,5,3,3.0,3,3,3,0,2-3 yrs,10K-15K,Very High,Better
476,34,No,Travel_Rarely,594,Research & Development,1,4,Life Sciences,4,Female,93,2,3,Research Director,3.0,Married,10664.0,18179,2,No,13,3,1,1,14,2,2,5.0,4,1,2,0,4-6 yrs,10K-15K,High,Good
477,49,No,Travel_Rarely,767,Sales,11,1,Life Sciences,2,Male,50,4,4,Manager,3.0,Single,8296.0,17262,0,No,17,3,2,2,29,3,3,10.0,3,4,3,0,7-10 yrs,6K-10K,High,Better
478,45,No,Travel_Rarely,986,Human Resources,1,3,Life Sciences,3,Female,73,3,5,Manager,1.0,Single,15491.0,22520,0,No,15,3,4,0,21,1,3,3.0,2,3,3,0,2-3 yrs,15K+,Low,Better
479,51,No,Travel_Frequently,1262,Research & Development,2,4,Medical,4,Male,76,3,5,Research Director,2.0,Single,15019.0,7389,2,No,11,3,1,0,28,0,3,4.0,3,3,3,0,4-6 yrs,15K+,Medium,Better
480,39,No,Non-Travel,615,Research & Development,2,2,Medical,4,Male,82,3,5,Healthcare Representative,4.0,Single,11127.0,5635,3,No,15,3,4,0,19,0,2,4.0,4,2,1,0,4-6 yrs,10K-15K,Very High,Good
481,34,No,Travel_Rarely,1194,Sales,1,2,Life Sciences,1,Male,90,3,4,Sales Representative,2.0,Married,8569.0,26870,2,No,13,3,1,0,11,1,3,0.0,0,0,0,0,0-1 yrs,6K-10K,Medium,Better
482,27,No,Non-Travel,304,Research & Development,1,3,Marketing,3,Male,81,3,1,Manufacturing Director,2.0,Single,6826.0,3242,6,Yes,12,3,2,0,5,2,2,5.0,5,1,1,0,4-6 yrs,6K-10K,Medium,Good
483,20,No,Travel_Rarely,1178,Research & Development,6,3,Medical,3,Female,39,4,1,Manufacturing Director,1.0,Married,6633.0,24600,6,Yes,17,3,3,2,0,2,3,0.0,0,0,0,0,0-1 yrs,6K-10K,Low,Better
484,29,No,Travel_Rarely,613,Sales,3,3,Medical,3,Male,82,2,4,Sales Representative,4.0,Married,12788.0,13071,3,No,15,3,4,0,8,2,3,4.0,2,1,2,0,4-6 yrs,10K-15K,Very High,Better
485,25,No,Travel_Rarely,232,Human Resources,6,5,Life Sciences,3,Male,70,3,2,Human Resources,1.0,Divorced,7773.0,11106,0,No,15,3,1,1,2,3,1,2.0,1,2,2,0,2-3 yrs,6K-10K,Low,Bad
486,41,No,Travel_Rarely,1014,Research & Development,5,3,Human Resources,3,Female,83,3,3,Research Director,3.0,Single,10734.0,17828,2,Yes,15,3,4,1,19,3,3,6.0,2,3,1,0,4-6 yrs,10K-15K,High,Better
487,18,Yes,Travel_Rarely,256,Research & Development,5,3,Medical,2,Male,38,3,3,Research Director,3.0,Divorced,9184.0,6791,2,No,13,4,4,0,0,5,1,0.0,0,0,0,1,0-1 yrs,6K-10K,High,Bad
488,31,Yes,Travel_Rarely,1473,Human Resources,1,3,Marketing,2,Male,34,4,2,Manager,2.0,Single,7100.0,24671,3,Yes,12,4,4,2,11,3,3,3.0,3,3,3,1,2-3 yrs,6K-10K,Medium,Better
489,21,Yes,Travel_Rarely,1191,Research & Development,17,3,Technical Degree,1,Female,83,2,5,Healthcare Representative,2.0,Married,10918.0,10581,2,Yes,15,3,2,2,1,6,3,1.0,1,1,1,1,0-1 yrs,10K-15K,Medium,Better
490,45,No,Travel_Rarely,266,Research & Development,10,4,Medical,3,Male,65,2,1,Research Director,4.0,Married,9166.0,21172,0,No,11,3,1,1,22,2,2,6.0,2,3,6,0,4-6 yrs,6K-10K,Very High,Good
491,27,Yes,Travel_Rarely,582,Sales,5,2,Life Sciences,4,Female,93,2,3,Manager,4.0,Married,10306.0,21526,1,No,21,3,3,0,3,4,3,3.0,3,2,1,1,2-3 yrs,10K-15K,Very High,Better
492,29,No,Travel_Rarely,100,Research & Development,29,3,Marketing,1,Male,68,3,2,Research Director,4.0,Married,6407.0,26409,3,No,16,3,1,1,9,1,4,7.0,3,1,4,0,7-10 yrs,6K-10K,Very High,Best
493,34,Yes,Travel_Rarely,445,Human Resources,1,2,Life Sciences,4,Female,51,3,4,Human Resources,3.0,Single,9979.0,13555,0,No,11,3,2,0,11,5,3,9.0,3,5,4,1,7-10 yrs,6K-10K,High,Better
494,34,No,Travel_Frequently,1362,Research & Development,4,3,Life Sciences,4,Male,79,3,3,Research Director,1.0,Divorced,7830.0,21567,3,No,19,3,3,1,14,1,2,11.0,4,4,1,0,10+ yrs,6K-10K,Low,Good
